param,tt,ss,ff,lower,upper
lmin,2e-05,2e-05,2e-05,2e-05,2e-05
level,54.0,54.0,54.0,54.0,54.0
version,4.5,4.5,4.5,4.5,4.5
binunit,2.0,2.0,2.0,2.0,2.0
mobmod,0.0,0.0,0.0,0.0,0.0
capmod,2.0,2.0,2.0,2.0,2.0
igcmod,0.0,0.0,0.0,0.0,0.0
igbmod,0.0,0.0,0.0,0.0,0.0
geomod,0.0,0.0,0.0,0.0,0.0
diomod,1.0,1.0,1.0,1.0,1.0
rdsmod,0.0,0.0,0.0,0.0,0.0
rbodymod,1.0,1.0,1.0,1.0,1.0
rgatemod,0.0,0.0,0.0,0.0,0.0
permod,1.0,1.0,1.0,1.0,1.0
acnqsmod,0.0,0.0,0.0,0.0,0.0
trnqsmod,0.0,0.0,0.0,0.0,0.0
fnoimod,1.0,1.0,1.0,1.0,1.0
tnoimod,1.0,1.0,1.0,1.0,1.0
tempmod,0.0,0.0,0.0,0.0,0.0
toxe,4.148e-09,4.299402e-09,3.996598e-09,3.996598e-09,4.299402e-09
toxm,4.148e-09,4.148e-09,4.148e-09,4.148e-09,4.148e-09
dtox,0.0,0.0,0.0,0.0,0.0
epsrox,3.9,3.9,3.9,3.9,3.9
xj,1.5e-07,1.5e-07,1.5e-07,1.5e-07,1.5e-07
ngate,1e+23,1e+23,1e+23,1e+23,1e+23
ndep,1.7e+17,1.7e+17,1.7e+17,1.7e+17,1.7e+17
nsd,1e+20,1e+20,1e+20,1e+20,1e+20
rsh,1.0,1.0,1.0,1.0,1.0
rshg,0.1,0.1,0.1,0.1,0.1
wint,2.1859e-08,4.4379e-08,-6.60999999999998e-10,-6.60999999999998e-10,4.4379e-08
lint,1.1932e-08,-1.955e-10,2.40595e-08,-1.955e-10,2.40595e-08
vth0,0.5190093,0.5164001,0.52129956,0.5164001,0.52129956
k1,0.54086565,0.54086565,0.54086565,0.54086565,0.54086565
k2,-0.026724591,-0.026610291,-0.026812991,-0.026812991,-0.026610291
k3,2.0,2.0,2.0,2.0,2.0
k3b,0.54,0.54,0.54,0.54,0.54
w0,0.0,0.0,0.0,0.0,0.0
dvt0,0.0,0.0,0.0,0.0,0.0
dvt1,0.53,0.53,0.53,0.53,0.53
dvt2,-0.032,-0.032,-0.032,-0.032,-0.032
